UE资产路径,容器原始路径,字节,KB,MB,类别,扩展名
/Game/GameXXK/BattleAnimations/Atlases/T_character_12_qiong_mei_er_2k_attack_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_12_qiong_mei_er_2k_attack_atlas.uasset,771068,753.0,0.735,战斗动画图集,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S04_10.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S04_10.uasset,769753,751.7,0.734,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S03_05.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S03_05.uasset,769548,751.5,0.734,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S05_03.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S05_03.uasset,763566,745.7,0.728,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S03_03.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S03_03.uasset,760718,742.9,0.725,剧情插画,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_08_song_jin_bao_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_08_song_jin_bao_2k_idle_atlas.uasset,758139,740.4,0.723,战斗动画图集,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S04_11.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S04_11.uasset,756607,738.9,0.722,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S02_03.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S02_03.uasset,755880,738.2,0.721,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S04_02.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S04_02.uasset,754454,736.8,0.72,剧情插画,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_character_11_jin_gui_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_character_11_jin_gui_2k_idle_atlas.uasset,752052,734.4,0.717,战斗动画图集,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S03_10.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S03_10.uasset,751396,733.8,0.717,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S05_06.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S05_06.uasset,747993,730.5,0.713,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S03_04.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S03_04.uasset,747916,730.4,0.713,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S03_06.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S03_06.uasset,747526,730.0,0.713,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S02_06.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S02_06.uasset,746932,729.4,0.712,剧情插画,.uasset
/Game/GameXXK/BattleAnimations/Atlases/T_enemy_13_snake_2k_idle_atlas.uasset,../../../GameXXK/Content/GameXXK/BattleAnimations/Atlases/T_enemy_13_snake_2k_idle_atlas.uasset,746874,729.4,0.712,战斗动画图集,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S01_02.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S01_02.uasset,746607,729.1,0.712,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S04_01.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S04_01.uasset,745654,728.2,0.711,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S04_03.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S04_03.uasset,745597,728.1,0.711,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S03_12.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S03_12.uasset,745511,728.0,0.711,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S05_02.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S05_02.uasset,744367,726.9,0.71,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S02_08.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S02_08.uasset,743027,725.6,0.709,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S05_11.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S05_11.uasset,742496,725.1,0.708,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S00_05.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S00_05.uasset,741547,724.2,0.707,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S01_04.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S01_04.uasset,741224,723.9,0.707,剧情插画,.uasset
/Game/GameXXK/UI/StoryNodes/T_Story_S01_03.uasset,../../../GameXXK/Content/GameXXK/UI/StoryNodes/T_Story_S01_03.uasset,741011,723.6,0.707,剧情插画,.uasset
